APK,APKPackage,ClassToSearch,MethodToSearch,FoundAtClass,FoundAtMethod,Arguments0,Arguments1,Arguments2,Arguments3,Unit
base.apk,com.amazon.dee.app,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.amazon.alexa.drive.navigation.CurrentLocationManager,void startLocationTracking(),60000,100.0,,,"virtualinvoke $r4.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r1, 60000L, 100.0F, r0)"
base.apk,com.android.browser,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.facebook.places.internal.LocationScannerImpl,android.location.Location getFreshLocation(),100,0.0,,,"virtualinvoke $r8.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r7, 100L, 0.0F, r0, $r9)"
base.apk,com.android.browser,.*,void requestLocationUpdates\(.*\),com.miui.org.chromium.device.geolocation.LocationProviderAndroid,void registerForLocationUpdates(boolean),,,,,"virtualinvoke $r5.<android.location.LocationManager: void requestLocationUpdates(long,float,android.location.Criteria,android.location.LocationListener,android.os.Looper)>(0L, 0.0F, $r1, r0, $r6)"
base.apk,com.android.chrome,.*,void requestLocationUpdates\(.*\),vK1,void a(boolean),,,,,"virtualinvoke $r5.<android.location.LocationManager: void requestLocationUpdates(long,float,android.location.Criteria,android.location.LocationListener,android.os.Looper)>(0L, 0.0F, $r1, r0, $r10)"
split_chrome.apk,com.android.chrome,android.location.LocationManager,void requestSingleUpdate\(.*\),org.chromium.chrome.browser.omnibox.geo.GeolocationHeader,"void f(org.chromium.chrome.browser.profiles.Profile,org.chromium.components.search_engines.TemplateUrlService)",,,,,"virtualinvoke $r7.<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.location.LocationListener,android.os.Looper)>(""network"", $r6, null)"
base.apk,com.android.providers.downloads.ui,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.yandex.metrica.impl.ob.lq,"boolean a(java.lang.String,float,long,android.location.LocationListener,android.os.Looper)",Variable,Variable,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r5, $l0, $f0, $r1, $r2)"
base.apk,com.android.soundrecorder,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.miui.maml.data.LocationBinder,void registerListener(),Variable,Variable,,,"virtualinvoke $r1.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r2, $l0, $f0, $r3)"
base.apk,com.android.thememanager,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",miuix.hybrid.c0.c,"miuix.hybrid.z c(android.location.LocationManager,miuix.hybrid.y)",0,0.0,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r1, 0L, 0.0F, $r2)"
base.apk,com.android.thememanager,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",c.j.i.b0,"void a(android.location.LocationManager,java.lang.String,androidx.core.os.c,java.util.concurrent.Executor,c.j.o.c)",0,0.0,,,"virtualinvoke $r4.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r0, 0L, 0.0F, $r7, $r8)"
base.apk,com.android.thememanager,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",c.j.i.b0,"void a(android.location.LocationManager,java.lang.String,c.j.i.c0,c.j.i.a0,android.os.Looper)",Variable,Variable,,,"virtualinvoke $r0.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r1, $l1, $f0, $r3, $r4)"
